author,content,description,publishedAt,source.id,source.name,title,url,urlToImage
Lewis Mckeever,"Francis Ngannou wants a title shot against Daniel Cormier, but The Predator has no intention of asking UFC president Dana White for any favours. According to Ngannou, he hasnt spoken to White in over a year. I havent talked to Dana White since one year ago, m… [+1492 chars]",UFC heavyweight Francis Ngannou says he hasn’t spoke to Dana White in over a year.,2019-02-21T00:00:00Z,,Bloodyelbow.com,Francis Ngannou on relationship with Dana White: I haven’t talked to him in over a year - Bloody Elbow,https://www.bloodyelbow.com/2019/2/20/18233166/ufc-espn-1-mma-news-interview-heavyweight-francis-ngannou-president-dana-white-fight-relationship,https://cdn.vox-cdn.com/thumbor/0Te6pW00oA6fguUsxbQBNbPxgok=/0x532:2000x1579/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13617782/1064773036.jpg.jpg
,"EL SEGUNDO, Calif. -- With a 28-29 record, the Los Angeles Lakers are three games out of the playoff picture with 25 regular-season contests left. Even more daunting: They have the fourth-toughest remaining schedule in the NBA, according to ESPN Stats &amp; I… [+5633 chars]","LeBron James said he is raring to step up his intensity level for a playoff push, starting against the Rockets on Thursday, saying the Lakers are ""working our tails off to get there.""",2019-02-20T23:17:12Z,,Espn.com,LeBron James primed to step up intensity for playoff push -- 'It's been activated' - ESPN,http://www.espn.com/nba/story/_/id/26040994/lebron-james-primed-step-intensity-playoff-push-activated,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0218%2Fr503195_1296x729_16%2D9.jpg
,"Ralph Vacchiano | Facebook | Twitter | Archive Landon Collins is ""frustrated"" the Giants seem to have no intention of giving him the lucrative, long-term contract he's seeking, according to an NFL source, and he remains unhappy that he is likely to get the fr… [+4412 chars]","Landon Collins is 'frustrated' the Giants seem to have no intention of giving him the lucrative, long-term contract he's seeking, according to an NFL source, and he remains unhappy that he is likely to get the franchise tag instead.",2019-02-20T23:12:46Z,,Www.sny.tv,Source: 'Frustrated' Giants S Landon Collins 'thought he was going to get a contract' - SNY.tv,https://www.sny.tv/giants/news/source-frustrated-giants-s-landon-collins-thought-he-was-going-to-get-a-contract/304224236,http://content.sny.tv/assets/images/9/6/6/304224966/cuts/750x422/cut.jpg
Mike Florio,"The Hall of Fame imposes a five-year waiting period before players and coaches can be considered for enshrinement. When Patriots coach Bill Belichick and quarterback Tom Brady retire, the Hall of Fame should waive that requirement. Presumably, both will retir… [+1208 chars]","The Hall of Fame imposes a five-year waiting period before players and coaches can be considered for enshrinement. When Patriots coach Bill Belichick and quarterback Tom Brady retire, the Hall of Fame should waive that requirement. Presumably, both will retir…",2019-02-20T23:00:00Z,,Nbcsports.com,"Hall of Fame should waive waiting period for Belichick, Brady - NBC Sports",http://profootballtalk.nbcsports.com/2019/02/20/hall-of-fame-should-waive-waiting-period-for-belichick-brady/,https://nbcprofootballtalk.files.wordpress.com/2019/02/gettyimages-1126554017-e1550703602936.jpg
Luis Paez-Pumar,"Barcelona. Real Madrid. Liverpool. Juventus. Manchester City. These are all European soccer teams, and more specifically the teams in the Champions League round of 16 that seemed most likely teams to take home the double-eared trophy on June 1. Barcelona and … [+8203 chars]","Barcelona. Real Madrid. Liverpool. Juventus. Manchester City. These are all European soccer teams, and more specifically the teams in the Champions League round of 16 that seemed most likely teams to take home the double-eared trophy on June 1. Barcelona and …",2019-02-20T22:59:00Z,,Deadspin.com,Who The Hell Is Going To Win The Champions League? - Deadspin,https://deadspin.com/who-the-hell-is-going-to-win-the-champions-league-1832763455,"https://i.kinja-img.com/gawker-media/image/upload/s--5ezSVD8R--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/pfscd6jhon8hlnuf2e7b.jpg"
Chip Towers,"ATHENS — Georgia and Auburn are definitely going to move their annual game to an early fall date starting in the 2020 season, and for the foreseeable future. And the Bulldogs and Tennessee also will be switching dates as well. That was the word from UGA Presi… [+4990 chars]","ATHENS — Georgia and Auburn are definitely going to move their annual game to an early fall date starting in the 2020 season, and for the foreseeable future. And the...",2019-02-20T22:39:22Z,,Dawgnation.com,Tennessee and Auburn to switch spots in Georgia football schedule starting in 2020 - DawgNation,https://www.dawgnation.com/football/georgia-football-schedule-2020-auburn-tennessee,"https://res.cloudinary.com/dawgnation/image/upload/c_crop,g_north_west,h_1290,w_2451,x_0,y_151/f_auto,q_auto/h_624,w_1186/v1511982065/Kirby-Smart-Gus-Malzahn-Getty-Michael-Chang_hnxtyj.jpg"
Fox News,"Barack Obama slammed pop culture on Tuesday for foisting bad values on young men. Speaking at the ""MBK Rising! My Brother’s Keeper Alliance"" Summit in Oakland, Calif., the former president explained how he felt about current-day culture. “Let’s face it: A lot… [+1830 chars]",Former President Barack Obama slammed pop culture on Tuesday for foisting bad values on young men.,2019-02-20T22:30:20Z,fox-news,Fox News,Barack Obama slams pop culture for foisting bad values on young men - Fox News,https://www.foxnews.com/entertainment/barack-obama-slams-pop-culture-for-foisting-bad-values-on-young-men,https://static.foxnews.com/foxnews.com/content/uploads/2019/02/barack-obama.jpg
https://www.newschannel5.com/about-us/catlin-bogard,"NASHVILLE, Tenn. (WTVF) With its Major League Soccer debut just over a year away, Nashville's MLS team unveiled their new logo and branding Wednesday night at Marathon Music Works. The logo can be seen above. The event was hosted by renowned ESPN SportsCenter… [+288 chars]","With its Major League Soccer debut just over a year away, Nashville unveiled it's new logo and branding Wednesday night at Marathon Music Works",2019-02-20T22:22:00Z,,Newschannel5.com,"Nashville's MLS team to be called ""Nashville Soccer Club,"" unveils new logo - NewsChannel5.com",https://www.newschannel5.com/sports/nashvilles-mls-team-set-to-unveil-logo-branding,https://ewscripps.brightspotcdn.com/dims4/default/2c8e096/2147483647/strip/true/crop/1388x729+0+0/resize/1200x630!/quality/90/?url=https%3A%2F%2Fewscripps.brightspotcdn.com%2F3e%2F23%2Fc1d176804564be673c5047a575d4%2Fscreen-shot-2019-02-20-at-5.33.06%20PM.png
,Late goals from Leroy Sane and Raheem Sterling gave Manchester City a 3-2 win at Schalke 04 in their Champions League round of 16 first leg on Wednesday that put the English side in the driving seat. Substitute Sane scored against his former club with a sensa… [+1893 chars],"Get a report of the Schalke 04 vs. Manchester City 2018/19 UEFA Champions League, Round of 16 football match.",2019-02-20T22:21:06Z,,Espn.com,"Schalke 04 vs. Manchester City - Football Match Report - February 20, 2019 - ESPN",http://www.espn.com/soccer/report?gameId=530638,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0220%2Fr504462_1296x729_16%2D9.jpg
,"TAMPA, Fla. -- Forced into a full season of downtime because of ankle and heel injuries, Troy Tulowitzki watched a lot of baseball last year, and there was one club that regularly caught his eye. ""I saw a lot of this team,"" Tulowitzki said of his current empl… [+4253 chars]","Troy Tulowitzki, who missed all of last season with the Blue Jays due to injuries, says he's healthy and excited about chasing a World Series title with the Yankees.",2019-02-20T21:54:27Z,,Espn.com,"Troy Tulowitzki healthy, hoping to help Yankees 'finish' 2019 with a championship - ESPN",http://www.espn.com/mlb/story/_/id/26040353/troy-tulowitzki-healthy-hoping-help-yankees-finish-2019-championship,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0220%2Fr504458_1296x729_16%2D9.jpg
Kerry Crowley,"CLICK HERE if you are having a problem viewing the photos on a mobile device SCOTTSDALE, Ariz.–A player’s ability to mash 60-mile per hour fastballs is hardly a predictor of success, but when games are still a few days away, batting practice home runs are sti… [+4948 chars]","With the first Cactus League games approaching, the Giants have developed a plan for Buster Posey’s spring workload.",2019-02-20T21:37:00Z,,Mercurynews.com,San Francisco Giants: Early camp standouts catch coaching staff’s attention - The Mercury News,https://www.mercurynews.com/2019/02/20/san-francisco-giants-spring-training-standouts-buster-posey-aramis-garcia/,https://www.mercurynews.com/wp-content/uploads/2019/02/BNG-L-GIANTS-0221-1.jpg?w=1024&h=683
Chip Towers,"ATHENS — Greg McGarity has been doing a lot of talking lately about the future. To date, though, that has been about the University of Georgia’s future, not his. But the Bulldogs’ athletic director of the last 10 years had no choice but to have his future add… [+5716 chars]","ATHENS —  Greg McGarity has been doing a lot of talking lately about the future. To date, though, that has been about the University of Georgia’s future, not his. But...",2019-02-20T21:30:15Z,,Dawgnation.com,BREAKING NEWS: Georgia AD Greg McGarity gets 1-year contract extension from athletic board - DawgNation,https://www.dawgnation.com/football/team-news/breaking-news-georgia-ad-greg-mcgaritys-gets-1-year-contract-extension-from-athletic-board,"https://res.cloudinary.com/dawgnation/image/upload/c_crop,g_north_west,h_2885,w_5472,x_0,y_489/f_auto,q_auto/h_624,w_1184/v1550645207/MCGARITY_mlxkoi.jpg"
,"MIAMI -- Point guard Goran Dragic and forward Derrick Jones Jr. are on their way back to the Miami Heat rotation. Both practiced Wednesday and are available for Miami's game at Philadelphia on Thursday. Dragic has played in only two of Miami's last 41 games, … [+516 chars]",Miami Heat guard Goran Dragic and forward Derrick Jones Jr. are expected to return to the lineup for Thursday's game at Philadelphia following lengthy injury absences.,2019-02-20T21:26:11Z,,Espn.com,"Goran Dragic, Derrick Jones Jr. set to return to Heat rotation - ESPN",http://www.espn.com/nba/story/_/id/26040151/goran-dragic-derrick-jones-jr-set-return-heat-rotation,https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2017%2F1108%2Fr286216_1296x729_16%2D9.jpg
,Question: How important was it for you to get a staff that you are comfortable with and have a history with? I do think thats always important. Coach (Andy) Reid was tremendous. A bunch of coaches had obviously left here for other jobs where there were openin… [+1860 chars],Spagnuolo spoke with the local media via a conference call on Wednesday afternoon,2019-02-20T21:26:05Z,,Chiefs.com,Five Things We Learned from New Chiefs' DC Steve Spagnuolo on Wednesday - chiefs.com,https://www.chiefs.com/news/five-things-we-learned-from-new-chiefs-dc-steve-spagnuolo-on-wednesday,https://static.clubs.nfl.com/image/private/t_editorial_landscape_12_desktop/chiefs/lwtsnlmdh6dqhvqcl3s5
Steven Marrocco,"UFC lightweight Dustin Poirier has campaigned almost nonstop for a big fight. Now he’s looking for the exit door. Poirier, 30, called for his release Wednesday after several months of inactivity and frustration laid bare on social media. “These guys should ju… [+2224 chars]",Has Dustin Poirier finally reached the end of his rope with the UFC?,2019-02-20T21:20:00Z,,Mmajunkie.com,"With no offers on table, Dustin Poirier hopes for UFC release - MMAjunkie",https://mmajunkie.com/2019/02/ufc-dustin-poirier-asks-to-be-released-frustrated-lightweight-division,https://usatmmajunkie.files.wordpress.com/2018/07/dustin-poirier-jon-anik-ufc-on-fox-30-calgary.jpg?w=1000&h=576&crop=1
,"In less than a month, Landon Collins is scheduled to hit free agency, where he would garner considerable interest from a number of safety-needy teams -- unless the Giants decide to utilize the franchise tag to prevent him from becoming a free agent. By the so… [+2548 chars]",The All-Pro safety is scheduled to hit free agency next month,2019-02-20T21:16:00Z,,Cbssports.com,Landon Collins on whether he cleaned out his Giants locker: Anything left 'I do not need' - CBS Sports,https://www.cbssports.com/nfl/news/landon-collins-on-whether-he-cleaned-out-his-giants-locker-anything-left-i-do-not-need/,https://sportshub.cbsistatic.com/i/r/2019/02/20/ef9af4aa-54d8-4937-b11d-47914be78134/thumbnail/770x433/021f05287d0582ad7849e8b012002550/usatsi-11007846.jpg
,[[getSimpleString(data.title)]] [[getSimpleString(data.description)]] [[getSimpleString(data.videoCountText)]],,2019-02-20T21:15:23Z,,Youtube.com,Pelicans reportedly pressing NBA to let them sit Anthony Davis | The Jump - ESPN,https://www.youtube.com/watch?v=4WBHmCwwEIY,
Zach Kruse,"Both will be highly coveted around the league and expensive to sign, but safety Earl Thomas and edge rusher Trey Flowers stand above the rest as the two highest-end targets for the Green Bay Packers as free agency approaches. If GM Brian Gutekunst wants to us… [+2950 chars]",No two free agents would do more to help turnaround the Packers defense than Earl Thomas and Trey Flowers.,2019-02-20T20:58:46Z,usa-today,USA Today,"Earl Thomas, Trey Flowers represent top FA targets for Packers - Packers Wire",https://packerswire.usatoday.com/2019/02/20/earl-thomas-trey-flowers-represent-top-fa-targets-for-packers/,https://usatpackerswire.files.wordpress.com/2019/02/usatsi_11989555-e1550696784809.jpg?w=1024&h=576&crop=1
,"C.J. Anderson explains how Patriots shut down Rams offense In Super Bowl LIII originally appeared on nbcsportsboston.com The Los Angeles Rams lost Super Bowl LIII in one of the most frustrating ways possible -- their very talented, high-scoring offense manage… [+1969 chars]",What did the Patriots do to slow down the Rams' offense in Super Bowl LIII? C.J. Anderson provided some insight Tuesday on FOX Sports 1.,2019-02-20T20:48:00Z,,Yahoo.com,C.J. Anderson explains how Patriots shut down Rams offense In Super Bowl LIII - Yahoo Sports,https://sports.yahoo.com/c-j-anderson-explains-patriots-204805321.html,https://s.yimg.com/uu/api/res/1.2/1sl325.wbVhK0_H6sTKwSQ--~B/aD0xMzQ2O3c9MjAxOTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/csnne.com/2f0c30e65bef8a9cd8b88302db054bbf
Travis Reier,Five questions for Alabama's inside linebackers as the Crimson Tide moves through the offseason. 5.] Would it be wise to discount...,Five questions for Alabama's inside linebackers as the Crimson Tide moves through the offseason.,2019-02-20T20:40:55Z,,247sports.com,Five offseason questions for Alabama's inside linebackers - 247Sports,https://247sports.com/college/alabama/Article/Alabama-Crimson-Tide-football-five-offseason-questions-for-Alabamas-inside-linebackers-in-2019-129305397/,"https://s3media.247sports.com/Uploads/Assets/527/887/8887527.jpg?fit=bounds&crop=1200:630,offset-y0.50&width=1200&height=630"
,"From 1999-2013, Tiger Woods amassed 18 wins in World Golf Championships events in nine different locations, including seven victories in the tournament now known as the WGC-Mexico Championship. SUBSCRIBE to PGA TOUR now: http://pgat.us/vBxcZSh Welcome to the … [+910 chars]","From 1999-2013, Tiger Woods amassed 18 wins in World Golf Championships events in nine different locations, including seven victories in the tournament now k...",2019-02-20T20:36:21Z,,Youtube.com,Tiger Woods' all-time shots in World Golf Championships - PGA TOUR,https://www.youtube.com/watch?v=AFGyY3cW06c,https://i.ytimg.com/vi/AFGyY3cW06c/maxresdefault.jpg
,"The news of a Joel Embiid injury is not what Sixers fans wanted coming out of the All-Star break. While the All-Star centers left knee soreness may seem alarming, his head coach downplayed it at the teams practice facility Wednesday, referring to it as tendin… [+3132 chars]",Not the post-All-Star break news Sixers fans were hoping for. By Noah Levick,2019-02-20T20:33:37Z,,Nbcsports.com,Joel Embiid out at least a week - NBCSports.com,https://www.nbcsports.com/philadelphia/76ers/joel-embiid-out-least-one-week-sixers-injury-update,https://www.nbcsports.com/philadelphia/sites/csnphilly/files/2019/02/20/ap_joel_embiid_ben_simmons_sixers.jpg
,"The best rivalry in college basketball? Without question, it's Duke vs. North Carolina. When the Blue Devils and Tar Heels meet, it's not only one of the best matchups of this season, but it happens to double as the premier rivalry in the sport. -- this seaso… [+2986 chars]",What you need to know when the No. 1 Blue Devils play host to the No. 8 Tar Heels on Wednesday,2019-02-20T20:24:00Z,,Cbssports.com,"Duke vs. North Carolina: Prediction, pick, odds, line, TV channel, watch online, live stream, preview - CBS Sports",https://www.cbssports.com/college-basketball/news/duke-vs-unc-prediction-pick-odds-line-tv-channel-watch-online-live-stream-preview/,https://sportshub.cbsistatic.com/i/r/2017/03/06/e4e07c09-1262-4526-ba33-e08211cf11aa/thumbnail/770x433/d6d9507d71e3436cb6b97178a306c24d/usatsi-9922569.jpg
David MacKay,"It must be tiresome to shoulder the scoring burden of an injury-plagued team, put up 40 points a night, and be widely criticized for playing the wrong way. That has been the life of Houston Rockets guard James Harden for the better part of two months now. Hav… [+2663 chars]","Having led his team to a 21-10 record through 31 consecutive games of scoring at least 30 points, Harden has become the subject of disapproval from his peers.",2019-02-20T20:19:22Z,usa-today,USA Today,Windhorst: James Harden ‘sensitive’ about criticism from peers - Rockets Wire,https://rocketswire.usatoday.com/2019/02/20/houston-rockets-james-harden-sensitive-to-criticism/,https://usattherocketswire.files.wordpress.com/2018/12/GettyImages-1074477678.jpg?w=1024&h=576&crop=1
Jeff Proctor,"LANSING, Mich. (WILX) -- The Michigan Department of Licensing and Regulatory Affairs has filed administrative complaints against two Michigan State University athletic trainers. Investigators say Destiny Treachnor-Hauk and Lianna Hadden lied when they claim n… [+2626 chars]",State investigators say Destiny Treachnor-Hauk and Lianna Hadden lied when they claimed no students had ever brought up Nassar's abuse to them.,2019-02-20T19:58:09Z,,Wilx.com,State file complaints against two MSU athletic trainers in the Nassar investigation - WILX-TV,https://www.wilx.com/content/news/States-file-complaints-against-two-MSU-athletic-trainers-in-the-Nassar-investigation-506112301.html,https://media.graytvinc.com/images/destiny+treachnor+hauk+lianna+hadden.jpg
Chris McCosky,"Last Slide Next Slide The Tigers reportedly have agreed to a one-year deal with second baseman Josh Harrison. (Photo11: Jeff Roberson, Associated Press) Lakeland, Fla. — When shortstop Jordy Mercer first showed up at TigerTown after signing a one-year, $5.25 … [+4930 chars]","Harrison, 31, spent eight seasons in Pittsburgh, where he was a two-time All-Star (2014, 2017).",2019-02-20T19:53:00Z,,Detroitnews.com,Report: Tigers sign second baseman Josh Harrison; seeking first base help too - The Detroit News,https://www.detroitnews.com/story/sports/mlb/tigers/2019/02/20/detroit-tigers-may-not-done-adding-roster/2926010002/,"https://www.gannett-cdn.com/presto/2019/02/20/PDTN/79650042-b423-471b-9730-654b19937093-harrison.jpg?crop=1457,820,x0,y506&width=3200&height=1680&fit=bounds"
Paolo Uggetti,"While the raging turmoil that is free agency news engulfs the rest of the NBA, Portland fans can take comfort in their flannel shirts, artisanal espressos, and views of Damian Lillard, their righteous franchise player, who doesnt seem to be interested in anyo… [+5745 chars]","The Portland guard’s latest comments about player movement in the NBA perfectly illustrated his team’s existing philosophy: If you can’t add a third star, then lean into the dissent",2019-02-20T19:34:50Z,,Theringer.com,Damian Lillard and the Trail Blazers Aren’t Here for Your Superteams - The Ringer,https://www.theringer.com/nba/2019/2/20/18233612/portland-trail-blazers-anti-superteam-identity-damian-lillard-cj-mccollum,https://cdn.vox-cdn.com/thumbor/IzEOXZxcQ31sLDmt6Mh9T5zXXUM=/0x0:3000x1571/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/14052296/BadBoyBlazers_Getty_Ringer.jpg
,Athletes. Theyre just like us. Kind of. Duke freshman superstar Zion Williamson spoke with GQ for a Q&amp;A that spanned from whose locker he used at Madison Square Garden (not at all relatable) to gaining 100 pounds over two years (highly relatable). Zion Wi… [+2006 chars],"For once, some can relate. Sort of.",2019-02-20T19:17:00Z,,Yahoo.com,Duke's Zion Williamson says he gained 100 pounds in 2 years - Yahoo Sports,https://sports.yahoo.com/zion-williamson-says-gained-100-pounds-2-years-191716117.html,https://s.yimg.com/uu/api/res/1.2/4BS07NRLJasYDJ22oSALEw--~B/aD0zMjY0O3c9NDg5NTtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/1d07e004072341c8269323be1015bc11
,"The Washington Capitals waived Devante Smith-Pelly on Wednesday, coach Todd Reirden said. The Caps had signed Smith-Pelly, 26, to a one-year, $1 million contract in the offseason, following the winger's spectacular play on the way to winning the Stanley Cup l… [+914 chars]","Winger Devante Smith-Pelly had seven postseason goals in 2018, including three in the Stanley Cup Final. But he only had four goals and four assists in 54 games this season, and the Capitals waived him Wednesday.",2019-02-20T18:49:35Z,,Espn.com,"Capitals waive Devante Smith-Pelly, ahead of trade deadline - ESPN",http://www.espn.com/nhl/story/_/id/26038917/capitals-waive-devante-smith-pelly-ahead-trade-deadline,https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2018%2F0607%2Fr382490_1296x729_16%2D9.jpg
TomAdams71,"The 0-0 draw between Bayern Munich and Liverpool showcased two sides that had clearly done their proper homework and come prepared for one another. Bayern put on a defensive masterclass, particularly in the second half, keeping Mohamed Salah, Sadio Mane, and … [+2219 chars]",The bosses and players were all pleased with the determined effort put forth against Liverpool.,2019-02-20T18:47:33Z,,Bavarianfootballworks.com,"Rummenigge, Kovac, players praise Bayern Munich’s “first-rate performance” against Liverpool - Bavarian Football Works",https://www.bavarianfootballworks.com/2019/2/20/18233451/karl-heinz-rummenigge-niko-kovac-manuel-neuer-mats-hummels-bayern-munich-liverpool-champions-league,https://cdn.vox-cdn.com/thumbor/VnoJjMA2lARpRJLoSnBboYIo4hs=/0x0:4113x2153/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/14048521/GettyImages-1125925445.0.jpg
,"Despite of being reportedly close to getting sacked, Chelsea head coach Maurizio Sarri says he is planning for the ""long term"" at the West London club. Sarri and defender Antonio Rudiger look ahead to Thursday's Europa League last 32 second leg against Malmo.… [+169 chars]","Despite of being reportedly close to getting sacked, Chelsea head coach Maurizio Sarri says he is planning for the ""long term"" at the West London club. Sarri...",2019-02-20T18:32:49Z,,Youtube.com,Maurizio Sarri Insists He Is Planning For The 'Long Term' at Chelsea - ESPN UK,https://www.youtube.com/watch?v=jz-tLETrUQ8,https://i.ytimg.com/vi/jz-tLETrUQ8/maxresdefault.jpg
